video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0704,2160,16800,16612.654,23.0,46.5123,52.2302,51.7169,47.877612500000005,46.081,51.0595,50.2605,47.22575,93.202651,197.11,89.48
test0705,360,145,146.122,45.0,26.3662,34.7301,35.6257,28.569125,23.9858,32.1896,32.9311,26.1294375,3.509877,4.35,2.12
test0705,360,300,319.07,39.0,28.4138,36.2831,37.1773,30.4929,26.1769,33.8774,34.6815,28.2025375,10.77873,5.18,2.3
test0705,540,600,586.48,39.0,30.728,37.792,38.7369,32.6121125,28.4776,35.4503,36.31,30.3282375,32.07347,9.44,4.59
test0705,540,900,849.178,36.0,32.1204,38.9418,39.6865,33.9188375,29.807,36.6226,37.3063,31.596362499999998,41.683854,10.37,4.75
test0705,540,1600,1666.25,30.0,34.1394,41.0019,41.4989,35.91715000000001,31.8654,38.7303,39.2092,33.641487500000004,55.10012,14.28,5.38
test0705,720,2400,2510.764,30.0,37.024,42.4562,43.0343,38.4543125,34.4946,40.2494,40.783,36.0,70.961164,20.57,8.72
test0705,720,3400,3574.01,27.0,38.0919,43.5146,44.1001,39.520762500000004,35.5652,41.3207,41.8547,37.07082499999999,75.33021,23.96,9.94
test0705,1080,4500,4465.93,30.0,40.6097,44.9481,45.5519,41.769774999999996,37.8376,42.6842,43.2447,39.1193125,83.17501,42.9,20.19
test0705,1080,5800,5647.498,28.0,41.5184,45.7477,46.4056,42.6579625,38.6943,43.4812,44.0749,39.9652375,85.358165,48.64,22.43
test0705,1440,8100,7882.55,26.0,43.2946,47.0621,47.6554,44.3106375,40.4346,44.5888,45.1284,41.540600000000005,88.822574,80.32,35.56
test0705,2160,11600,12205.326,27.0,45.6113,48.7201,49.2071,46.449375,43.0161,46.2387,46.6915,43.878350000000005,91.609382,156.84,80.12
test0705,2160,16800,15716.448,25.0,46.7306,49.7491,50.2124,47.5431375,44.1246,47.2479,47.6781,44.95920000000001,92.723622,175.11,85.43
test0706,360,145,152.694,42.0,29.8924,41.0112,40.1776,32.5679,28.62,37.1219,36.5053,30.668400000000002,7.583005,4.39,2.17
test0706,360,300,316.758,36.0,30.7514,43.0023,42.2637,33.7218,30.1846,39.4768,38.8705,32.4318625,12.573096,5.79,2.42
test0706,540,600,570.258,36.0,32.2221,44.4426,43.5517,35.165862499999996,31.9977,41.1645,39.9925,34.1429,32.326079,10.99,4.95
test0706,540,900,922.898,32.0,32.9295,45.5681,44.6689,35.97675,32.9816,42.3116,40.9961,35.1496625,40.169358,13.05,5.37
test0706,540,1600,1644.942,27.0,33.5244,46.7285,45.7554,36.7037875,33.8326,43.4941,41.9173,36.050875,47.686268,16.38,5.79
test0706,720,2400,2436.082,27.0,35.1733,47.9407,47.2302,38.276337500000004,35.7005,44.9848,44.2833,37.9338875,62.521785,24.3,10.67
test0706,720,3400,3505.694,24.0,35.5452,48.6109,47.8827,38.720600000000005,36.1944,45.6327,44.9404,38.4674375,66.064741,27.88,11.02
test0706,1080,4500,4406.726,27.0,38.238,49.6613,49.0439,41.01665,38.7417,46.7934,46.2351,40.6848375,77.195439,47.58,24.09
test0706,1080,5800,5566.202,25.0,38.6831,50.1488,49.53,41.47217500000001,39.2593,47.2991,46.7386,41.19918750000001,79.339859,53.27,24.53
test0706,1440,8100,8149.342,24.0,41.638,51.2854,50.7902,43.98795,41.6064,48.2117,47.8584,43.2135625,86.058123,88.87,42.4
test0706,2160,11600,12078.686,25.0,44.7993,52.34,52.0721,46.6509875,44.0143,49.4579,49.2683,45.3515,90.676543,212.28,94.12
test0706,2160,16800,16482.948,23.0,45.9985,53.204,52.9499,47.7681125,45.117,50.3913,50.2212,46.4143125,92.351632,242.05,99.37
test0707,360,145,144.514,40.0,28.1385,36.2086,37.3107,30.2937875,28.8276,35.192,35.3392,30.4371,0.367588,6.32,2.29
test0707,360,300,310.51,35.0,29.0973,36.919,38.4788,31.2477,29.9674,36.336,36.6363,31.5970875,6.662597,7.84,2.51
test0707,540,600,641.656,34.0,30.8342,38.4412,40.316,32.9703,32.0379,38.1187,39.3036,33.7062125,31.424241,21.98,5.38
test0707,540,900,856.97,32.0,31.296,38.6847,40.7182,33.3973625,32.5203,38.4828,39.8062,34.17635,36.131224,17.5,5.91
test0707,540,1600,1493.726,28.0,31.9735,39.0571,41.4433,34.042675,33.2912,39.0914,40.6903,34.9411125,43.842035,22.32,6.19
test0707,720,2400,2505.436,27.0,33.9101,40.5626,43.0068,35.87875,35.4103,40.8339,42.5985,36.986774999999994,61.958284,39.48,10.94
test0707,720,3400,3335.308,25.0,34.2535,40.7141,43.25,36.1856375,35.8071,41.0573,42.8955,37.349425,65.267842,44.31,12.62
test0707,1080,4500,4512.362,27.0,37.2032,43.169,45.2962,38.96055,38.7651,43.4326,45.0081,40.1289125,77.997287,74.99,25.62
test0707,1080,5800,6041.3,25.0,37.8237,43.5164,45.7849,39.5304375,39.4154,43.8504,45.5129,40.731962499999995,80.807973,91.76,27.63
test0707,1440,8100,7668.682,25.0,40.3381,45.1093,47.0608,41.774837500000004,41.5195,45.0638,46.4785,42.582412500000004,86.226531,143.61,45.32
test0707,2160,11600,11728.548,26.0,43.1546,46.7279,48.5524,44.27598749999999,44.0776,46.6025,47.9666,44.879337500000005,91.073256,286.68,105.3
test0707,2160,16800,16052.914,24.0,44.3852,47.5928,49.4772,45.42265,45.2882,47.5066,48.921,46.0196,92.987628,349.27,113.52
test0708,360,145,152.092,41.0,36.365,46.2763,40.8458,38.1640125,29.909,38.4846,33.8581,31.474587500000002,17.865011,4.96,2.14
test0708,360,300,285.626,35.0,37.8963,48.1804,42.5801,39.7672875,31.8849,40.4989,35.9339,33.467774999999996,29.816044,6.2,2.36
test0708,540,600,627.588,32.0,41.701,50.4625,45.4846,43.2691375,35.6887,42.5178,38.8052,36.9319,61.241762,10.98,5.15
test0708,540,900,870.11,29.0,42.3819,51.1332,46.2023,43.9533625,36.5625,43.1223,39.5848,37.760262499999996,64.930424,12.96,5.23
test0708,540,1600,1602.912,24.0,43.2399,52.2305,47.2413,44.8639,37.7223,44.0797,40.7665,38.8975,69.374335,15.92,5.7
