video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0772,2160,600,588.608,44,45.3945,49.3287,48.1661,46.232725,38.1216,40.702,39.922,38.669200000000004,78.460071,123.18,74.78
test0772,2160,900,873.148,40,45.443,49.4773,48.4748,46.326262500000006,38.7218,40.9232,40.4121,39.208262500000004,77.125718,149.02,77.05
test0772,2160,1600,1557.418,37,46.0708,50.0836,49.2113,46.9649625,39.3982,41.4873,41.1385,39.876875000000005,79.087104,185.82,84.38
test0772,2160,2400,2328.266,35,46.8885,50.6335,49.8308,47.72441250000001,40.0685,42.0329,41.7282,40.5215125,81.888127,221.3,89.45
test0772,2160,3400,3573.13,33,47.785,51.3569,50.5587,48.578199999999995,40.8725,42.8021,42.496,41.3166375,84.570511,271.81,98.48
test0772,2160,4500,4441.684,32,48.2858,51.77,50.9919,49.0595875,41.3284,43.2443,42.9474,41.7702625,85.926431,303.87,105.56
test0772,2160,5800,5425.692,31,48.7794,52.1984,51.4126,49.535925,41.7957,43.7103,43.4104,42.236862499999994,87.151188,334.65,113.53
test0772,2160,8100,8421.274,29,50.0167,53.2608,52.4997,50.7325875,42.9646,44.8628,44.5918,43.405274999999996,89.816718,409.78,121.3
test0772,2160,11600,12185.384,27,51.1908,54.2603,53.5289,51.86675000000001,44.0513,45.9248,45.6932,44.490725,91.878969,488.44,130.85
test0772,2160,16800,18007.038,25,52.6485,55.5183,54.8058,53.276887499999994,45.417,47.28,47.0733,45.85691250000001,93.899824,609.67,142.65
test0773,2160,145,475.848,50,32.5232,39.3726,40.667,34.39735,31.8499,38.6051,39.8465,33.693875,32.938642,127.16,78.62
test0773,2160,300,475.848,50,32.5232,39.3726,40.667,34.39735,31.8499,38.6051,39.8465,33.693875,32.938642,127.16,78.62
test0773,2160,600,585.214,48,33.6797,40.416,41.623,35.514649999999996,32.9846,39.5198,40.6318,34.757400000000004,40.683327,131.01,81.16
test0773,2160,900,893.714,44,35.9816,42.5686,43.6063,37.7580625,35.2205,41.6361,42.4556,36.9268375,55.764422,141.86,86.05
test0773,2160,1600,1625.932,39,38.0915,44.0478,45.1371,39.7167375,38.1798,43.8401,44.8243,39.7179,66.648188,155.23,89.25
test0773,2160,2400,2359.158,36,39.6581,45.5419,46.5628,41.2566625,39.6172,45.2248,46.152,41.135,75.339797,176.06,93.7
test0773,2160,3400,3521.778,33,41.1657,46.8539,47.7895,42.704699999999995,41.0279,46.4125,47.2759,42.481975,82.511803,201.78,97.18
test0773,2160,4500,4723.814,31,42.2028,47.7427,48.6141,43.69670000000001,42.0117,47.2208,48.0391,43.4162625,86.984432,231.67,103.25
test0773,2160,5800,5601.37,30,42.7872,48.1643,49.0046,44.2365125,42.5939,47.606,48.4091,43.9473125,89.19743,252.06,106.42
test0773,2160,8100,7727.63,28,43.8921,49.0373,49.8552,45.280637500000005,43.6457,48.4053,49.1943,44.934225,93.204986,320.28,121.03
test0773,2160,11600,10963.644,26,45.1262,49.8256,50.6122,46.399375000000006,44.8723,49.1521,49.9256,46.0389375,96.834713,355.69,122.04
test0773,2160,16800,15356.922,24,46.3706,50.6792,51.4229,47.5407125,46.0574,49.9663,50.7204,47.1288875,98.9119,428.59,131.04
test0774,2160,145,1109.644,50,31.1127,37.1037,36.7549,32.56685,29.6622,35.7751,36.0677,31.227,41.302085,87.83,76.19
test0774,2160,300,1109.644,50,31.1127,37.1037,36.7549,32.56685,29.6622,35.7751,36.0677,31.227,41.302085,87.83,76.19
